career_id,family_id,name,slug,role_kind,market_status,evidence_status,description,education_summary,direct_animal_contact,career_stage,active,last_verified,source_origin
cr_0082,rf_reintroduction,Species recovery biologist,species-recovery-biologist,career,Verified professional function; titles vary,verified_function_title_varies,"Plans or implements recovery actions for threatened or endangered species, integrating population monitoring, habitat needs, reintroduction, regulatory requirements, and partner coordination.",B.S. + graduate study often useful,Moderate,professional_or_specialist,1,2026-09-08,2026_market_expansion
cr_0083,rf_habitat,Wildlife refuge manager,wildlife-refuge-manager,later_career,Verified federal occupational series and current titles,verified_current_market,"Manages public lands and waters designated as wildlife refuges, integrating wildlife and habitat conservation, land/water management, planning, administration, public relations, supervision, and regulatory responsibilities.",B.S. + progressive professional experience,Low / variable,leadership,1,2026-09-08,2026_market_expansion
cr_0084,rf_habitat,Conservation delivery / habitat program coordinator,conservation-delivery-habitat-program-coordinator,career,Verified current market titles,verified_current_market,"Coordinates habitat conservation delivery across agencies, NGOs, landowners, and partners, translating conservation plans into habitat projects, incentives, restoration, and implementation.",B.S.-accessible / experience-driven,Low / variable,professional_or_specialist,1,2026-09-08,2026_market_expansion
cr_0085,rf_wildlife_biology,Wildlife program manager,wildlife-program-manager,later_career,Verified current market titles,verified_current_market,"Leads wildlife programs, multidisciplinary staff, regional priorities, budgets, partnerships, and conservation delivery across species, habitat, recreation, and agency functions.",B.S. + substantial professional experience,Low,leadership,1,2026-09-08,2026_market_expansion
cr_0086,rf_evolution,Conservation geneticist / wildlife genomicist,conservation-geneticist-wildlife-genomicist,scientific_specialty,Established scientific specialty with verified institutional titles,verified_current_market,"Uses genetics and genomics to study population structure, diversity, gene flow, relatedness, adaptation, and conservation management of wildlife or managed populations.",Graduate degree typical,Low,professional_or_specialist,1,2026-09-08,2026_market_expansion
cr_0087,rf_evolution,Research ecologist,research-ecologist,scientific_specialty,Verified federal/institutional title,verified_professional_role,"Conducts ecological research on species, populations, communities, habitats, landscapes, or environmental change, often using field data, experiments, models, or long-term monitoring.",Graduate degree typical,Low / variable,professional_or_specialist,1,2026-09-08,2026_market_expansion
cr_0088,rf_quant,Ecological data scientist,ecological-data-scientist,scientific_specialty,Verified institutional title variants,verified_professional_role,"Builds, manages, analyzes, and models ecological or wildlife datasets, often integrating monitoring, spatial, remote-sensing, population, or citizen-science data.",B.S. + graduate study often useful,Low,professional_or_specialist,1,2026-09-08,2026_market_expansion
cr_0089,rf_quant,Research statistician — ecology/biology,research-statistician-ecology-biology,scientific_specialty,Verified federal/institutional title,verified_professional_role,"Develops and applies statistical methods to biological and ecological research, including abundance, occupancy, survival, movement, population dynamics, and study design.",Graduate degree typical,Low,professional_or_specialist,1,2026-09-08,2026_market_expansion
cr_0090,rf_quant,eDNA / molecular ecology technician,edna-molecular-ecology-technician,career,Verified current market title variants,verified_current_market,"Supports environmental DNA or molecular-ecology projects by processing biological samples, running laboratory workflows, managing data, and connecting molecular detections to wildlife or ecological monitoring.",B.S.-accessible / experience-driven,Low,entry_or_early,1,2026-09-08,2026_market_expansion
cr_0091,rf_gis,Remote sensing / geospatial ecologist,remote-sensing-geospatial-ecologist,scientific_specialty,Established professional/scientific role; titles vary,verified_professional_role,"Uses satellite, aerial, drone, GIS, and other spatial data to study wildlife habitat, landscape change, movement, distribution, or conservation priorities.",B.S. + graduate study often useful,Low,professional_or_specialist,1,2026-09-08,2026_market_expansion
cr_0092,rf_human_dimensions,Human dimensions / conservation social scientist,human-dimensions-conservation-social-scientist,scientific_specialty,Established conservation specialty with verified government titles,verified_professional_role,"Studies how people perceive, value, use, or interact with wildlife and conservation, supporting conflict management, policy, public engagement, and conservation decisions.",Graduate degree often useful,Low,professional_or_specialist,1,2026-09-08,2026_market_expansion
cr_0093,rf_rehab,Wildlife rehabilitation program manager,wildlife-rehabilitation-program-manager,later_career,Verified current market titles,verified_current_market,"Directs or supervises rehabilitation-center operations, staff/volunteers, animal-care protocols, records, permits, budgets, training, release decisions, and public-facing program responsibilities.",B.S. + 3–5+ years progressive rehabilitation experience,High,leadership,1,2026-09-08,2026_market_expansion
